impressionist
abstract
cubist
photorealistic
surrealist
expressionist
modern art
watercolor
oil
pop art
portrait
landscape
still life
medieval
futurist
industrial art
neoclassical
Baroque
Rennaissance
Pointillist
Roccoco
post-impressionist
