a lassi
a milkshake
a smoothie
ale
an energy drink
apple cider
apple juice
beer
champagne
chocolate milk
cider
coconut milk
coffee
Coke
cola
cranberry juice
cream soda
ginger ale
green tea
hot chocolate
iced tea
kool-aid
lemon with mint
lemonade
martini
milk
orange juice
Pepsi
root beer
rum
sake
sangria
soda
Sprite
tea
tequila
tomato juice
tonic water
vodka
water
whiskey
